id,description_en,tutorial_en
05e2fc01-e312-4809-9386-f3bdbd16c19b,Game available in: Games Online | Platform: Battle.net,"[""Access the platform with the provided credentials."", ""Download the game from the library."", ""Launch the game and enjoy.""]"
0b9e8fa6-d961-49b6-8821-41a68289b9d0,Game available in: Games Offline | Platform: Steam,"[""Install Steam and sign in with the provided login and password."", ""Request the Steam Guard code from GamingFlix support if necessary."", ""Download the game."", ""Click Play, reach the main menu, close the game, and return to Steam."", ""Disable Steam Remote Play in the settings to avoid login conflicts."", ""In the top-left corner click Steam and then Go Offline."", ""Always play in Offline Mode; failing to comply may result in your access being suspended.""]"
0fc1dd78-2264-4384-a81f-7c0b321182ee,Game available in: Game Packs | Platform: Steam,"[""Install Steam and sign in with the provided login and password."", ""Request the Steam Guard code from GamingFlix support."", ""Download the game."", ""Click Play, reach the main menu, close the game, and return to Steam."", ""Disable Steam Remote Play in the settings to avoid login conflicts."", ""In the top-left corner click Steam and then Go Offline."", ""Always play in Offline Mode!""]"
12a3ebf9-96ac-4e0c-9ea9-0f0eda01b9ea,Game available in: Games Offline,"[""Access the platform with the provided credentials."", ""Download the game from the library."", ""Launch the game and enjoy.""]"
1bf4f854-c2f2-460d-8a70-15c74dd42c93,Game available in: Games Offline | Platform: Steam,"[""Install Steam and sign in with the provided login and password."", ""Request the Steam Guard code from GamingFlix support."", ""Download the game."", ""Click Play, reach the main menu, close the game, and return to Steam."", ""Disable Steam Remote Play in the settings to avoid login conflicts."", ""In the top-left corner click Steam and then Go Offline."", ""Always play in Offline Mode; failing to comply may result in your access being suspended.""]"
26d3103c-e527-4e22-a360-aba916795c56,Game available in: Games Offline | Platform: Steam,"[""Install Steam and sign in with the provided login and password."", ""Request the Steam Guard code from GamingFlix support."", ""Download the game."", ""Click Play, reach the main menu, close the game, and return to Steam."", ""Disable Steam Remote Play in the settings to avoid login conflicts."", ""In the top-left corner click Steam and then Go Offline."", ""Always play in Offline Mode; failing to comply may result in your access being suspended.""]"
28b0be3f-769e-4406-8180-d0b0e8fa690a,Game available in: Game Packs | Platform: Steam,"[""Install Steam and sign in with the provided login and password."", ""Request the Steam Guard code from GamingFlix support."", ""Download the game."", ""Click Play, reach the main menu, close the game, and return to Steam."", ""Disable Steam Remote Play in the settings to avoid login conflicts."", ""In the top-left corner click Steam and then Go Offline."", ""Always play in Offline Mode!""]"
2cccb139-79d9-416b-b7de-de132c7b6ebe,Game available in: Games Offline | Platform: Steam,"[""Install Steam and sign in with the provided login and password."", ""Request the Steam Guard code from GamingFlix support."", ""Download the game."", ""Click Play, reach the main menu, close the game, and return to Steam."", ""Disable Steam Remote Play in the settings to avoid login conflicts."", ""In the top-left corner click Steam and then Go Offline."", ""Always play in Offline Mode; failing to comply may result in your access being suspended.""]"
3f77656d-55eb-4b52-8cca-30fb6c5a8255,Game available in: Games Offline | Platform: Steam,"[""Install Steam and sign in with the provided login and password."", ""Request the Steam Guard code from GamingFlix support."", ""Download the game."", ""Click Play, reach the main menu, close the game, and return to Steam."", ""Disable Steam Remote Play in the settings to avoid login conflicts."", ""In the top-left corner click Steam and then Go Offline."", ""Always play in Offline Mode; failing to comply may result in your access being suspended.""]"
44b9e768-127b-4e65-8e2e-2798d4da6623,Game available in: Games Offline | Platform: Steam,"[""Install Steam and sign in with the provided login and password."", ""Request the Steam Guard code from GamingFlix support."", ""Download the game."", ""Click Play, reach the main menu, close the game, and return to Steam."", ""Disable Steam Remote Play in the settings to avoid login conflicts."", ""In the top-left corner click Steam and then Go Offline."", ""Always play in Offline Mode; failing to comply may result in your access being suspended.""]"
